Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases/1M_pop,Deaths/1M_pop,TotalTests,Tests/1M_pop,WHO_Region,MortalityRatio,RecoveryRatio,CasesPerPopulation,DeathsPer1M,CasesPer1M,DailyGrowthRateCases,DailyGrowthRateDeaths,DailyGrowthRateRecovered,DailyGrowthRateCases_MA7,DailyGrowthRateDeaths_MA7,DailyGrowthRateRecovered_MA7
Martinique,North America,375235.0,276,656.0,15.0,80.0,98.0,936.0,163.0,1.0,736.0,40.0,12227.0,32585.0,Europe,5.434782608695652,35.507246376811594,0.0007355390621876958,39.974949031939985,735.5390621876958,237.68115942028984,533.3333333333333,955.1020408163266,214.14439670919091,530.4316416832221,448.3060990862108
Faeroe Islands,Europe,48882.0,266,656.0,113.0,80.0,192.0,936.0,74.0,1.0,5442.0,29.0,43045.0,880590.0,Europe,42.4812030075188,72.18045112781954,0.005441675872509308,2311.689374411849,5441.675872509308,246.61654135338344,70.79646017699115,487.5,223.12483098816566,350.0692312323161,474.535227101053
Aruba,North America,106812.0,263,656.0,3.0,80.0,114.0,936.0,146.0,27.5,2462.0,28.0,14047.0,131511.0,Europe,1.1406844106463878,43.346007604562736,0.0024622701569112083,28.08673182788451,2462.2701569112082,249.4296577946768,2666.666666666667,821.0526315789474,231.51511432760452,616.7358978989827,551.7942429040336
Cambodia,Asia,16741375.0,243,656.0,113.0,80.0,210.0,936.0,33.0,1.0,15.0,29.0,67807.0,4050.0,WesternPacific,46.50205761316872,86.41975308641975,1.4514936795812769e-05,6.7497442713038796,14.514936795812769,269.95884773662556,70.79646017699115,445.7142857142857,242.18950754168029,579.2306303052196,572.6105694346459
Trinidad and Tobago,North America,1399950.0,210,656.0,8.0,80.0,135.0,936.0,67.0,27.5,150.0,6.0,9559.0,6828.0,Americas,3.8095238095238098,64.28571428571429,0.00015000535733419051,5.7144898032072575,150.0053573341905,312.3809523809524,1000.0,693.3333333333334,254.8309600271113,711.973993137078,620.2296170536935
Cayman Islands,North America,65798.0,203,656.0,1.0,80.0,202.0,936.0,0.0,27.5,3085.0,15.0,31108.0,472780.0,Europe,0.49261083743842365,99.50738916256158,0.0030852001580595153,15.198030335268548,3085.200158059515,323.1527093596059,8000.0,463.3663366336633,267.76361658202967,1844.7173559689363,626.9962365727881
Gibraltar,Europe,33690.0,190,656.0,113.0,80.0,184.0,936.0,6.0,27.5,5640.0,29.0,23063.0,684565.0,Europe,59.473684210526315,96.84210526315789,0.005639655684179281,3354.1110121697834,5639.655684179282,345.2631578947369,70.79646017699115,508.69565217391306,283.4975751343244,1773.1984829329963,624.9663257500671
Papua New Guinea,Australia/Oceania,8963009.0,163,656.0,3.0,80.0,53.0,936.0,107.0,27.5,18.0,0.3,10808.0,1206.0,WesternPacific,1.8404907975460123,32.515337423312886,1.818585700404853e-05,0.3347090246143901,18.18585700404853,402.4539877300613,2666.666666666667,1766.0377358490568,307.0365506071489,2077.9603876949013,740.8142821833143
Sint Maarten,North America,42924.0,160,656.0,16.0,80.0,64.0,936.0,80.0,3.0,3728.0,373.0,1115.0,25976.0,Europe,10.0,40.0,0.0037275184046221227,372.75184046221233,3727.5184046221225,409.99999999999994,500.0,1462.5,330.3770446995227,2139.2751790981883,880.0999964690285
Bermuda,North America,62254.0,157,656.0,9.0,80.0,144.0,936.0,4.0,27.5,2522.0,145.0,26352.0,423298.0,Americas,5.7324840764331215,91.71974522292994,0.0025219263019243742,144.56902367719346,2521.9263019243745,417.8343949044586,888.8888888888889,650.0,354.43486428663437,1885.3069251299341,855.6639062434646
Brunei ,Asia,437893.0,141,656.0,3.0,80.0,138.0,936.0,0.0,27.5,322.0,7.0,41148.0,93968.0,Europe,2.127659574468085,97.87234042553192,0.00032199646945715047,6.850988711854266,321.99646945715045,465.2482269503546,2666.666666666667,678.2608695652174,382.33334703145283,2256.1455260570306,888.8848467935977
Barbados,North America,287411.0,133,656.0,7.0,80.0,100.0,936.0,26.0,27.5,463.0,24.0,12233.0,42563.0,Americas,5.263157894736842,75.18796992481202,0.00046275194755941837,24.35536566102202,462.75194755941834,493.2330827067669,1142.857142857143,936.0,408.16936564942625,2276.553689322337,923.5515134602643
Turks and Caicos,North America,38768.0,129,656.0,2.0,80.0,39.0,936.0,88.0,3.0,3327.0,52.0,1252.0,32295.0,Europe,1.550387596899225,30.23255813953488,0.003327486586875774,51.58893933140735,3327.486586875774,508.52713178294573,4000.0,2400.0,434.65142599561767,1705.1251178937655,1200.213465369741
Seychelles,Africa,98408.0,126,656.0,113.0,80.0,124.0,936.0,2.0,27.5,1280.0,29.0,135702.0,32585.0,Africa,89.68253968253968,98.4126984126984,0.0012803837086415738,1148.2806275912528,1280.3837086415738,520.6349206349206,70.79646017699115,754.8387096774194,459.7045349585011,1705.1251178937655,1235.3767592988133
Monaco,Europe,39270.0,125,656.0,4.0,80.0,105.0,936.0,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe,3.2,84.0,0.003183091418385536,101.85892538833716,3183.091418385536,524.8000000000001,2000.0,891.4285714285714,477.18253671134954,1609.88702265567,1110.4325929530298
Bhutan,Asia,772443.0,105,656.0,113.0,80.0,93.0,936.0,12.0,27.5,136.0,29.0,54589.0,70671.0,South-EastAsia,107.61904761904762,88.57142857142857,0.00013593236005763533,146.28911130012182,135.93236005763532,624.7619047619048,70.79646017699115,1006.4516129032259,507.86280882019304,1548.572231252383,1045.2828233677762
Antigua and Barbuda,North America,98010.0,92,656.0,3.0,80.0,76.0,936.0,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas,3.260869565217391,82.6086956521739,0.0009386797265585144,30.60912151821243,938.6797265585144,713.0434782608695,2666.666666666667,1231.578947368421,550.035535013966,1802.5404852206373,1128.3655301346937
Liechtenstein,Europe,38139.0,89,656.0,1.0,80.0,85.0,936.0,3.0,27.5,2334.0,26.0,900.0,23598.0,Europe,1.1235955056179776,95.50561797752809,0.00233356931225255,26.21987991295,2333.56931225255,737.0786516853933,8000.0,1101.1764705882354,588.8684528332573,2564.4452471253994,1188.7820445665534
Belize,North America,398312.0,86,656.0,2.0,80.0,31.0,936.0,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas,2.3255813953488373,36.04651162790697,0.00021591114503203518,5.021189419349655,215.9111450320352,762.7906976744187,4000.0,3019.3548387096776,627.3766835429217,2972.6085124315214,1486.4041643822218
French Polynesia,Australia/Oceania,281072.0,64,656.0,113.0,80.0,62.0,936.0,2.0,27.5,228.0,29.0,5849.0,20810.0,Europe,176.5625,96.875,0.0002276996641429954,402.0322195024762,227.6996641429954,1025.0,70.79646017699115,1509.6774193548388,701.1585218596439,2411.293721028235,1359.2152242900556
St. Vincent Grenadines,North America,110976.0,56,656.0,113.0,80.0,46.0,936.0,10.0,27.5,505.0,29.0,2447.0,22050.0,Europe,201.78571428571428,82.14285714285714,0.0005046136101499423,1018.2381776239907,504.6136101499423,1171.4285714285713,70.79646017699115,2034.7826086956522,794.1290434015939,2411.293721028235,1542.0643527212317
Saint Martin,North America,38729.0,53,656.0,3.0,80.0,41.0,936.0,9.0,1.0,1368.0,77.0,1183.0,30546.0,Europe,5.660377358490567,77.35849056603774,0.0013684835652869943,77.46133388416948,1368.4835652869942,1237.735849056604,2666.666666666667,2282.9268292682927,895.9770218382516,2506.5318162663293,1740.8498181269063
Macao,Asia,650193.0,46,656.0,113.0,80.0,46.0,936.0,0.0,27.5,71.0,29.0,4071.0,6261.0,Europe,245.65217391304347,100.0,7.074822398887715e-05,173.79455023354603,70.74822398887714,1426.086956521739,70.79646017699115,2034.7826086956522,1010.4520292325136,2506.53181626633,1887.754246097253
Curaçao,North America,164161.0,31,656.0,1.0,80.0,28.0,936.0,2.0,27.5,189.0,6.0,1080.0,6579.0,Europe,3.225806451612903,90.32258064516128,0.00018883900561034595,6.091580826140191,188.83900561034596,2116.1290322580644,8000.0,3342.857142857143,1210.8928226606843,3268.4365781710917,2189.365416881356
Fiji,Australia/Oceania,897095.0,27,656.0,1.0,80.0,18.0,936.0,8.0,27.5,30.0,1.0,6693.0,7461.0,WesternPacific,3.7037037037037033,66.66666666666666,3.009714690194461e-05,1.1147091445164672,30.09714690194461,2429.6296296296296,8000.0,5200.0,1452.685819509861,3268.4365781710917,2774.9116353687505
Saint Lucia,North America,183712.0,25,656.0,113.0,80.0,24.0,936.0,1.0,27.5,136.0,29.0,3895.0,21202.0,Americas,451.99999999999994,96.0,0.00013608256401323812,615.0931893398363,136.0825640132381,2624.0,70.79646017699115,3900.0,1718.5728626992297,2707.121786767805,2900.7180869816543
